espacio_cultural_id,provincia_id,localidad_id,provincia,localidad,nombre,direccion,latitud,longitud,denominacion_especifica,fuente,descripcion,jurisdiccion _declaratoria,fecha_de_inauguracion,decreto_o_ley,numero_de_decreto_o_ley
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Administración de los Mataderos,Lisandro de la Torre y El Resero,-34.66130556,-58.50172222,Monumento Histórico,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,3/5/1979,Decreto,1021.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Administración de Parques Nacionales,Avenida Santa Fe 690,-34.59580556,-58.37711111,Monumento Histórico,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,18/4/2001,Ley,25427.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Adolfo Alsina,Recoleta,-34.5875,-58.39338889,Sepulcro,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,31/1/1946,Decreto,3039.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Aduana Nacional,Azopardo 350,-34.61152778,-58.36772222,Monumento Histórico,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,17/9/2009,Decreto,1309.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Aguaribay (árbol) en terrenos del Instituto Bernasconi,s/d,-34.63408333,-58.402,Árbol Histórico,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,23/7/1943,Decreto,3369.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Alte. Guillermo Brown,Recoleta,-34.5875,-58.39338889,Sepulcro,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,31/1/1946,Decreto,3039.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Altos de Elorriaga,Defensa 183/85 Alsina 417/21,-34.61002778,-58.37227778,Monumento Histórico,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,24/10/1997,Decreto,1110.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Amadeo Jaques,Recoleta,-34.5875,-58.39338889,Sepulcro,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,31/1/1946,Decreto,3039.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ambrosio Plácido Lezica,Recoleta,-34.5875,-58.39338889,Sepulcro,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,7/6/1979,Decreto,1327.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Antigua casa central del ""Banco Hipotecario de la provincia de Buenos Aires"" (actual sede del Banco Central de la República Argentina)",San Martín 275 y Reconquista 258/66/74,-34.605,-58.37266667,Monumento Histórico,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,9/12/2005,Decreto,1563.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Antigua casa central del Banco ""El Hogar Argentino""",Bartolomé Mitre 567/75/79,-34.60686111,-58.3745,Monumento Histórico,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,9/12/2005,Decreto,1563.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Antigua residencia de don Gregorio Lezama, sede del Museo Histórico Nacional, quedando su entorno que fuera jardín particular, actual Parque Lezama",Defensa 1652 - Parque Lezama:Defensa/Brasil/Martín García/Paseo Colón,-34.62688889,-58.37075,Monumento Histórico,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,16/5/1997,Decreto,437.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Antigua sede de la Bolsa de Comercio de Buenos Aires (actual Museo Numismático ""José E. Uriburu"" del Banco Central)",San Martín 216,-34.60533333,-58.37386111,Monumento Histórico,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,9/12/2005,Decreto,1563.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Antonio Sáenz,Recoleta,-34.5875,-58.39338889,Sepulcro,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,31/1/1946,Decreto,3039.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Apostadero Naval Buenos Aires,Dársena Norte del Puerto de Buenos Aires,-34.59366667,-58.36852778,Monumento Histórico,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,15/4/1999,Decreto,339.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Archivo Histórico del Cementerio de la Chacarita,s/d,-34.58925,-58.45925,Bien de interés histórico,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,21/4/2010,Decreto,525.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Archivo histórico del Crematorio Municipal,Cementerio de la Chacarita,-34.58925,-58.45925,Bien de Interés Histórico,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,2/10/2007,Decreto,1289.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Archivo Nacional sobre la desaparición de personas (CONADEP),"En custodia en el Archivo Nacional de la Memoria (Secretaría de Derechos Humanos - Ministerio de Justicia, Seguridad y Derechos Humanos)",-34.53819444,-58.46388889,Bien de Interés Histórico,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,8/7/2004,Decreto,848.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Archivo y Museo Históricos del Banco de la Provincia de Buenos Aires ""Dr. Arturo Jauretche""",Sarmiento 364,-34.60427778,-58.37186111,Monumento Histórico,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,9/12/2005,Decreto,1563.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Archivos de Plano de Redes; Archivos de Planos domiciliarios y Archivos de Rentas de Buenos Aires de AYSA S.A.,Av. Córdoba 1950,-34.60016667,-58.39494444,Bien de Interés Histórico,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,21/4/2010,Decreto,526.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Área contigua al edificio Club de Pescadores,"El muelle y el área contigua desde su eje, en una extensión de 100 metros hacia el noroeste y el sudeste",-34.56261111,-58.40225,Lugar Histórico,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,11/6/2001,Decreto,766.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Area Retiro (Avs. San Martín, Antártida Argentina, R. Mejía, Martínez Zuviría, Illia, Libertador)",s/d,-34.59038889,-58.37455556,Lugar Histórico,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,20/3/1997,Decreto,262.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Aristóbulo del Valle,Recoleta,-34.5875,-58.39338889,Sepulcro,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,10/12/1945,Decreto,30837.0
9,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Asociación Argentina de Actores,Alsina 1762/66,-34.61158333,-58.39125,Monumento Histórico Artístico,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,22/9/1999,Ley,25176.0
